"BillType","BillNumber","Sequence","Sponsor","Type","Status","SponDate","WithDate","ModDate"
"S",2051,4,"Stanley, Sterley S.","P","A",12/22/2025 0:00:00,,12/22/2025 0:00:00
"S",2051,5,"Peterpaul, Luanne M.","P","A",12/22/2025 0:00:00,,12/22/2025 0:00:00
"S",2051,6,"Stack, Brian P.","C","A",6/24/2024 0:00:00,,6/24/2024 0:00:00
"S",2051,7,"Greenstein, Linda R.","C","A",6/23/2025 0:00:00,,6/25/2025 0:00:00
"S",2051,8,"McKnight, Angela V.","C","A",6/30/2025 0:00:00,,6/30/2025 0:00:00
"S",2051,9,"Morales, Carmen Theresa","C","A",12/22/2025 0:00:00,,12/22/2025 0:00:00
"S",2051,10,"Donlon, Margie","C","A",12/22/2025 0:00:00,,12/22/2025 0:00:00
"S",2051,11,"Reynolds-Jackson, Verlina","C","A",12/22/2025 0:00:00,,12/22/2025 0:00:00
"S",2051,12,"Fantasia, Dawn","C","A",12/22/2025 0:00:00,,12/22/2025 0:00:00
"S",2051,13,"Bailey, David","C","A",12/22/2025 0:00:00,,12/22/2025 0:00:00
"S",2052,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2053,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2053,2,"Greenstein, Linda R.","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2053,3,"Bucco, Anthony M.","C","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2053,4,"Testa, Michael L.","C","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2053,5,"Amato, Carmen F.","C","A",2/5/2024 0:00:00,,2/5/2024 0:00:00
"S",2054,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2054,2,"Greenstein, Linda R.","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2055,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2055,2,"Ruiz, M. Teresa","P","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2056,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2056,2,"Lagana, Joseph A.","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2057,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2058,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2059,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2059,2,"Singer, Robert W.","P","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2059,3,"Sarlo, Paul A.","C","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2059,4,"Lagana, Joseph A.","C","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2060,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2061,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2061,2,"Corrado, Kristin M.","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
